EntryId,CategoryId,Index,Resource
601101,601001,1,Dummy
601102,601001,2,Dummy
601103,601001,3,Dummy
601104,601001,4,Dummy
601105,601001,5,Dummy
601106,601001,6,Dummy
602101,602001,7,Dummy
602102,602001,8,Dummy
602103,602001,9,Dummy
603101,603001,10,Dummy
603102,603001,11,Dummy
603103,603001,12,Dummy
604101,604001,13,Dummy
605101,605001,14,Dummy
605102,605001,15,Dummy
605103,605001,16,Dummy
606101,606001,17,Dummy
606102,606001,18,Dummy
606103,606001,19,Dummy
606104,606001,20,Dummy
