MissionId,MissionType,Theme,StartMission,NextMissionId,MissionCategory,TargetId,CompleteTimes,RewardType,RewardAmount,Icon
97011001,1,1,0,0,1,401109,1,Money,5000,Money.png
97011002,1,1,0,0,1,401101,1,Money,5000,Money.png
97011003,1,1,0,0,1,401114,1,Money,12000,Money.png
97011004,1,1,0,0,1,401201,1,Money,5000,Money.png
97011005,1,1,0,0,1,401202,1,Money,5000,Money.png
97011006,1,1,0,0,2,301001,1,Money,3500,Money.png
97011007,1,1,0,0,3,301001,20,Gold,50,Gold.png
97011008,1,1,0,0,5,101101,1,Money,30000,Money.png
97011009,1,1,0,0,5,101201,1,Money,30000,Money.png
97011010,1,1,0,0,5,101301,1,Money,30000,Money.png
97011011,1,1,0,0,6,950101,1,AdBlockTicket,1,AdBlockTicket.png
97011012,1,1,0,0,7,401101,1,Money,5000,Money.png
97011013,1,1,0,0,7,401202,1,Money,6000,Money.png
97011014,1,1,0,0,4,301001,1,Money,14000,Money.png
97011015,1,1,0,0,1,401215,1,Money,37500,Money.png
97011016,1,1,0,0,2,301004,1,Money,15000,Money.png
97011017,1,1,0,0,3,301004,20,Gold,50,Gold.png
97011018,1,1,0,0,1,401110,1,Money,18000,Money.png
97011019,1,1,0,0,7,401109,1,Money,10000,Money.png
97011020,1,1,0,0,8,0,3,Gold,50,Gold.png
97011021,1,1,0,0,7,401112,1,Money,45000,Money.png
97011022,1,1,0,0,7,401113,1,Money,49500,Money.png
97011023,1,1,0,0,15,0,5,Gold,50,Gold.png
97011024,1,1,0,0,1,401211,1,Money,42000,Money.png
97011025,1,1,0,0,3,301006,20,Gold,50,Gold.png
97011026,1,1,0,0,6,950201,1,AdBlockTicket,1,Money.png
97011027,1,1,0,0,10,101101,1,Money,30000,Money.png
97011028,1,1,0,0,7,401114,1,Money,10000,Money.png
97011029,1,1,0,0,10,101201,1,Money,30000,Money.png
97011030,1,1,0,0,10,101301,1,Money,30000,Money.png
97011031,1,1,0,0,1,401217,1,Money,52500,Money.png
97011032,1,1,0,0,2,301010,1,Money,123000,Money.png
97011033,1,1,0,0,3,301010,20,Gold,100,Gold.png
97011034,1,1,0,0,6,950301,1,AdBlockTicket,2,AdBlockTicket.png
97011035,1,1,0,0,1,401209,1,Money,37250,Money.png
97011036,1,1,0,0,2,301014,1,Money,216000,Money.png
97011037,1,1,0,0,3,301014,20,Gold,100,Gold.png
97011038,1,1,0,0,7,401213,1,Money,75000,Money.png
97011039,1,1,0,0,7,401214,1,Money,90000,Money.png
97011040,1,1,0,0,6,950401,1,AdBlockTicket,3,AdBlockTicket.png
97011041,1,1,0,0,9,981305,15,Gold,500,Gold.png
97012001,1,2,0,0,1,402109,1,Money,10000,Money.png
97012002,1,2,0,0,1,402101,1,Money,10000,Money.png
97012003,1,2,0,0,1,402114,1,Money,36000,Money.png
97012004,1,2,0,0,1,402201,1,Money,10000,Money.png
97012005,1,2,0,0,1,402202,1,Money,5000,Money.png
97012006,1,2,0,0,2,302001,1,Money,4500,Money.png
97012007,1,2,0,0,3,302001,20,Gold,50,Gold.png
97012008,1,2,0,0,5,102101,1,Money,60000,Money.png
97012009,1,2,0,0,5,102201,1,Money,60000,Money.png
97012010,1,2,0,0,5,102301,1,Money,60000,Money.png
97012011,1,2,0,0,6,950101,1,AdBlockTicket,1,AdBlockTicket.png
97012012,1,2,0,0,7,402101,1,Money,10000,Money.png
97012013,1,2,0,0,7,402202,1,Money,12000,Money.png
97012014,1,2,0,0,4,302001,1,Money,28000,Money.png
97012015,1,2,0,0,1,402210,1,Money,37500,Money.png
97012016,1,2,0,0,2,302003,1,Money,20000,Money.png
97012017,1,2,0,0,3,302003,20,Gold,50,Gold.png
97012018,1,2,0,0,1,402110,1,Money,49000,Money.png
97012019,1,2,0,0,7,402207,1,Money,10000,Money.png
97012020,1,2,0,0,15,0,5,Gold,50,Gold.png
97012021,1,2,0,0,7,402112,1,Money,45000,Money.png
97012022,1,2,0,0,7,402113,1,Money,49500,Money.png
97012023,1,2,0,0,8,0,1,Gold,50,Gold.png
97012024,1,2,0,0,1,402210,1,Money,135000,Money.png
97012025,1,2,0,0,3,302005,20,Gold,50,Gold.png
97012026,1,2,0,0,6,950202,1,AdBlockTicket,1,AdBlockTicket.png
97012027,1,2,0,0,10,102101,1,Money,60000,Money.png
97012028,1,2,0,0,7,402114,1,Money,36000,Money.png
97012029,1,2,0,0,10,102201,1,Money,60000,Money.png
97012030,1,2,0,0,10,102301,1,Money,60000,Money.png
97012031,1,2,0,0,1,402208,1,Money,180000,Money.png
97012032,1,2,0,0,2,302006,1,Money,39000,Money.png
97012033,1,2,0,0,3,302006,20,Gold,100,Gold.png
97012034,1,2,0,0,6,950302,1,AdBlockTicket,2,AdBlockTicket.png
97012035,1,2,0,0,1,402212,1,Money,152500,Money.png
97012036,1,2,0,0,2,302008,1,Money,75000,Money.png
97012037,1,2,0,0,3,302008,20,Gold,100,Gold.png
97012038,1,2,0,0,7,402217,1,Money,152500,Money.png
97012039,1,2,0,0,7,402218,1,Money,126000,Money.png
97012040,1,2,0,0,6,950402,1,AdBlockTicket,3,AdBlockTicket.png
97012041,1,2,0,0,9,982305,15,Gold,15000,Gold.png
97013001,1,3,0,0,1,403109,1,Money,15000,Money.png
97013002,1,3,0,0,1,403101,1,Money,5000,Money.png
97013003,1,3,0,0,1,403114,1,Money,60000,Money.png
97013004,1,3,0,0,1,403201,1,Money,5500,Money.png
